approx_id,true_id,ra,dec,g_mag,period,M2,sep_arcsec
2469927000000000000,2469926638416055168,17.366299,-10.579709,15.449045,582.127264,52.10959,0.0015
3288319000000000000,3288319325091588352,74.229139,6.848889,13.093292,892.424202,42.422741,0.0016
3954521000000000000,3954520601544854272,190.205145,20.674397,14.589101,693.331981,16.425488,0.0021
2442122000000000000,2442122188372936192,359.092144,-7.853186,15.512649,946.78402,11.190626,0.002
3586834000000000000,3586834017613414784,175.132481,-10.286742,12.470749,591.502665,7.801323,0.0019
1058924000000000000,1058923641368980352,164.639109,65.344711,15.08543,788.044793,6.341874,0.0013
987751500000000000,987751532149740672,106.325,54.348187,13.886643,979.153947,6.175775,0.0005
6042980000000000000,6042980300715906176,241.290537,-26.805187,11.956163,678.312805,9.083496,0.0011
4373465000000000000,4373465352415301632,262.171207,-0.581092,13.771998,185.765658,7.38019,0.001
6033351000000000000,6033350812290616448,254.843307,-27.461562,11.752956,857.410754,6.850631,0.0007
3007275000000000000,3007275043405150720,97.003269,-6.120942,12.817634,978.036958,6.803085,0.0014
5946964000000000000,5946964039090337152,263.617431,-48.779222,13.231606,478.75442,6.694875,0.0008
6260996000000000000,6260995898671156480,237.705601,-16.736791,14.269182,604.12059,6.4395,0.0022
4056403000000000000,4056403406274320768,268.127713,-29.808888,12.103796,688.914398,6.134613,0.002
5970948000000000000,5970947922418891904,250.839717,-39.141491,13.670663,779.463962,5.683616,0.001
253422900000000000,253422900335886080,66.661518,44.306595,13.563715,618.650929,5.660271,0.0017
6281177000000000000,6281177228434199296,223.20971,-19.373622,11.258724,153.947236,5.287159,0.0013
6854461000000000000,6854461422927841664,303.543167,-19.896193,13.389194,900.836848,5.188587,0.0016
245948800000000000,245948793944575360,60.525083,47.248837,11.799413,548.659488,5.00932,0.0014
6886105000000000000,6886104886536410368,311.929395,-16.11708,9.456089,767.465094,6.923067,0.0011
3972084000000000000,3972084092912522496,169.132672,18.856379,8.800947,875.751659,6.146918,0.0012
4507516000000000000,4507516366984668032,282.901432,15.352603,8.893681,812.784373,18.20279,0.0017
4277855000000000000,4277855016732107520,274.223831,3.497524,11.249516,424.403106,12.313431,0.0016
4036965000000000000,4036964938446119552,270.548889,-37.869281,14.291556,948.410115,6.44065,0.0017
6656986000000000000,6656986282721029120,288.10049,-51.8057,6.46902,443.903885,5.508534,0.0014
5103956000000000000,5103955898378211456,47.038837,-19.302992,6.877223,762.984337,5.025045,0.0003
4287913000000000000,4287912833714471296,292.941221,1.870127,14.126158,966.909631,8.862254,0.0016
3649964000000000000,3649963989549165440,218.378596,-1.24527,14.299598,892.530623,7.200551,0.0011
3153895000000000000,3153895060707668608,106.274619,7.338386,9.343264,904.022609,16.622369,0.0017
2946055000000000000,2946055236704251520,102.590657,-17.084563,5.265003,754.992579,10.981437,0.001
3067772000000000000,3067772475266826624,123.323486,-4.478199,11.640985,984.250316,5.653348,0.0017
4333366000000000000,4333365746736322944,253.880418,-12.030013,14.401811,971.827408,16.689937,0.002
3075398000000000000,3075397558341753472,132.169591,0.109011,14.534228,1030.55269,15.942065,0.0006
6416292000000000000,6416292261003065600,295.587038,-72.054953,14.286278,1252.079739,12.28368,0.0002
821035500000000000,821035538967799040,146.282201,45.318212,14.828474,1035.487849,5.365802,0.0011
4113159000000000000,4113158615942884736,254.888545,-24.303139,13.297129,1138.862551,42.853384,0.0003
4176072000000000000,4176072224608179328,265.858044,-5.210109,15.082899,948.529175,14.684272,0.002
6099299000000000000,6099298866831787392,216.451661,-45.578027,14.096127,969.790697,7.825962,0.0013
5870727000000000000,5870726548541872384,206.681028,-59.481173,15.629697,1280.701821,7.695561,0.0016
5961220000000000000,5961219890212937088,266.494423,-39.276621,14.560827,902.731367,5.788308,0.0018
403404300000000000,403404292179402880,18.093203,49.724491,13.506587,985.626832,42.250383,0.0008
6884634000000000000,6884633804402758656,318.86476,-14.636404,13.083634,1110.555369,6.256724,0.0012
5968984000000000000,5968984130270654208,250.076186,-41.285269,13.184564,1005.700396,7.279738,0.0018
4113903000000000000,4113903195790495232,255.83991,-23.151695,6.807487,1232.568866,7.269105,0.001
470361100000000000,470361114339849472,61.243593,58.659781,7.179552,999.370545,6.48044,0.0009
3115716000000000000,3115716130044313344,105.041475,2.60776,13.015971,1331.943481,6.106716,0.002
979031300000000000,979031266772932736,105.625433,49.060483,9.942521,876.991669,5.07728,0.0006
